Model,MSE,MAE,R2
RNN1,30.854896513239787,4.541341794770339,0.7331529900637008
RNN2,85.77144619587945,7.697969581340922,0.258209991225819
GRU1,14.284206808060167,3.0263138869713093,0.8764637608035085
GRU2,27.18164407319333,4.282580724255792,0.7649209277700229
LSTM1,25.09692306386925,3.953100954253098,0.7829505318443974
LSTM2,75.86602122374883,7.06018945102034,0.34387655746522283
